Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
350	4.35853764127555		6.82724552447749		1.02138924598694	4.35551080866702	6.97195926800156	0.624718338309439	0.0195680964701609	95.5942793429137
347	4.39974941357181		6.91469504561243		1.00556933879852	4.39672258096329	6.95190981592077	0.632448161351896	0.020593172741538	95.3689118178331
344	4.42029113468114		6.97402072164491		0.991796970367432	4.41726430207261	6.91553485732739	0.638745143102313	0.0216555012464006	95.135914836301
341	4.42623894227456		7.016564976846		0.979491114616394	4.42321210966603	6.87140113832091	0.643713271955315	0.0228060244164131	94.8842164552837
338	4.40415552195264		7.02262525758351		0.968417704105377	4.40112868934412	6.79958698336351	0.647264120616785	0.0240618245072135	94.6102468237331
335	4.35438734588198		6.99419711072444		0.959338665008545	4.35136051327345	6.7085677704651	0.648627346723781	0.0253819834337016	94.3230893205236
332	4.25681275398671		6.90036686695874		0.951533734798431	4.25378592137818	6.56470596320904	0.647978134164412	0.0267667532355106	94.0228143807819
329	4.12530313048876		6.76085067122716		0.943661332130432	4.12227629788023	6.37873759984098	0.64625268454106	0.0281749749270833	93.7184344285282
326	3.97813273801042		6.60203513231098		0.936539053916931	3.97510590540189	6.18185716170931	0.643027782981442	0.0296462127829646	93.4014862986825
323	3.82562725033855		6.43643943473048		0.930177271366119	3.82260041773002	5.98583129177959	0.638608111621797	0.0311936084716191	93.069288010432
320	3.66968036619606		6.2618718890413		0.923899114131927	3.66665353358753	5.7841476005245	0.633914240579725	0.0328213814310125	92.7211092477123
317	3.51718850889523		6.09103937995828		0.917971193790436	3.5141616762867	5.59021603761735	0.628627168009145	0.0345712365285111	92.3482698819844
